,State_Name,District_Name,Jan_level,Feb_level,march_level,april_level,may_level,june_level,july_level,aug_level,sep_level,oct_level,nov_level,dec_level,Jan2020_lev
396,UTTAR PRADESH,SANT RAVI DAS NAGAR(BHADOHI),9.2,6.16,11.28,11.47,10.12,25.68,12.89,12.35,12.06,11.33,10.73,9.65,22.41
397,JHARKHAND,PAKUR,5.38,5,5,5,7.16,5,5,3.83,5,5,3.13,5,5
398,GUJARAT,JUNAGADH,11.76,10,10,10,14.72,10,10,7.54,10,10,4.72,10,10
399,JHARKHAND,KHUNTI,6.08,5,5,5,7.8,5,5,4.23,5,5,2.51,5,5
400,ODISHA,KHORDHA,5.15,4,4,4.94,4,4,4,1.76,4,4,2.64,4,4
401,MADHYA PRADESH,MANDSAUR,12.29,6,6,6,13.15,7.28,3,1.25,6,1.79,3.58,6,6
402,ANDHRA PRADESH,PRAKASAM,20.31,23.87,24.4,24.44,21.51,18,18,4.04,18,7.2,18,18,15.03
403,ASSAM,LAKHIMPUR,3.07,2,2.87,2,2,2,2,1.85,2,2,1.66,2,2
404,KERALA,THIRUVANANTHAPURAM,7.81,7,7,9.36,7,7.36,6.46,8.41,5.98,5.16,7.33,2.19,5.42
405,TAMILNADU,VIRUDUNAGAR,10.07,12.37,8.52,11.69,12,10.07,9.56,14.15,11.82,17.34,9.4,12,12
406,UTTAR PRADESH,JAUNPUR,6.62,6.15,10.19,10.58,7.08,25.33,11.75,11.06,12.01,11.28,9.68,9.67,22.31
407,BIHAR,LAKHISARAI,5.6,6,6,6,6.97,6,6,6.03,6,6,3.99,6,6
408,PUNJAB,KAPURTHALA,20,20,20,20,19.01,20,20,21.4,20,19.85,20,20,20
409,RAJASTHAN,RAJSAMAND,11.52,10,10,10,13.79,10,10,7.14,10,10,6.12,10,10
410,WEST BENGAL,HAORA,5.18,8,8,6.25,8,8,8,12.6,8,8,7.02,8,8
411,HIMACHAL PRADESH,SOLAN,13.25,12,12,12,12.96,12,12,10.61,12,12,11.31,12,12
412,BIHAR,SAHARSA,3.51,4,4,4,4.28,4,4,6.22,4,4,2.31,4,4
413,MAHARASHTRA,NASHIK,7.65,8,8,8,12.63,8,8,5,8,8,8.32,8,8
414,JAMMU & KASHMIR,SAMBA,8,8,8,8,8,8,8,8,8,8,8,8,8
415,MEGHALAYA,JAINTIA HILLS,1.59,1,1.36,1,1,1,1,0.87,1,1,1.39,1,1
416,CHHATTISGARH,RAIPUR,4.77,4,4,4,6.8,4,3.51,3.02,1.86,4,3.06,2.87,3.23
