,State_Name,District_Name,Jan_level,Feb_level,march_level,april_level,may_level,june_level,july_level,aug_level,sep_level,oct_level,nov_level,dec_level,Jan2020_lev
0,MADHYA PRADESH,JHABUA,6.19,5,5,5,9.59,5.64,4.11,1.29,5,1.92,3.6,5,5
1,JAMMU & KASHMIR,JAMMU,5.65,5,5,5,7.08,5,5,5.8,5,5,2.42,5,5
2,BIHAR,DARBHANGA,4.4,5,5,5,5.41,5,5,5.97,5,5,2.91,5,5
3,BIHAR,SHEOHAR,3.79,4,4,4,6.11,4,4,4.99,4,4,2.19,4,4
4,MIZORAM,LUNGLEI,4,4,4,4,4,4,4,4,4,4,4,4,4
5,MADHYA PRADESH,MORENA,16.67,9,9,9,13.71,11.83,10.75,7,9,1.27,3.82,9,9
6,GUJARAT,NARMADA,10.27,9,9,9,12.14,9,9,7.69,9,9,6.53,9,9
7,RAJASTHAN,ALWAR,33.29,34,34,34,36.88,34,34,32.57,34,34,32.76,34,34
8,ASSAM,SONITPUR,3.97,3,4.5,3,3,3,3,1.98,3,3,3.19,3,3
9,TAMILNADU,CUDDALORE,11.6,10.74,11.36,11.55,20.22,9.66,11.16,18.84,16,17.65,15.84,14,14
10,CHHATTISGARH,JANJGIR-CHAMPA,5.74,4,4,4,8.35,4,4.46,2.76,2.31,4,3.06,3.41,3.56
11,ODISHA,GANJAM,3.11,3,3,4.97,3,3,3,1.76,3,3,2.2,3,3
12,ASSAM,TINSUKIA,3.39,3,3.2,3,3,3,3,1.61,3,3,2.22,3,3
13,ANDHRA PRADESH,ANANTAPUR,20.17,23.51,24.49,24.75,22.21,18,18,3.96,18,8.41,18,18,16.83
14,ANDHRA PRADESH,KURNOOL,10.59,12.84,14.1,14.26,13.23,10,10,3.98,10,4.48,10,10,8.36
15,ODISHA,PURI,3.25,2,2,3.56,2,2,2,1.4,2,2,1.72,2,2
16,GUJARAT,VADODARA,14.57,13,13,13,16.34,13,13,9.8,13,13,10.51,13,13
17,MIZORAM,MAMIT,13,13,13,13,13,13,13,13,13,13,13,13,13
18,MEGHALAYA,WEST GARO HILLS,3.55,3,4.63,3,3,3,3,2.51,3,3,2.63,3,3
19,NAGALAND,PHEK,3,3,3,3,3,3,3,3,3,3,3,3,3
20,WEST BENGAL,KOCH BIHAR,3.5,3,3,2.31,3,3,3,1.76,3,3,2.63,3,3
21,MAHARASHTRA,BHANDARA,6.2,6,6,6,9.84,6,6,2.01,6,6,5.03,6,6
22,WEST BENGAL,MURSHIDABAD,9.68,9,9,9.62,9,9,9,13.11,9,9,3.6,9,9
23,TAMILNADU,TIRUVANNAMALAI,7.21,10.78,11.42,11.69,9.64,9.65,11.13,9.32,18.83,18.06,4.97,11,11
24,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,6.43,5,5,5,10.31,5,5,1.88,5,5,2.91,5,5
25,BIHAR,BHAGALPUR,5.9,6,6,6,7.21,6,6,6.18,6,6,3.16,6,6
26,GUJARAT,AMRELI,13.28,12,12,12,16.97,12,12,9.42,12,12,7.23,12,12
27,RAJASTHAN,NAGAUR,48.13,43,43,43,37.87,43,43,45.86,43,43,40.56,43,43
28,GOA,SOUTH GOA,5.93,5,5,5,6.06,5,5,3.95,5,5,4.77,5,5
29,MAHARASHTRA,CHANDRAPUR,5.64,5,5,5,9.07,5,5,2.41,5,5,3.88,5,5
30,LAKSHDWEEP,LAKSHADWEEP,5,5,5,5,5,5,5,5,5,5,5,5,5
31,UTTAR PRADESH,ALIGARH,7.76,23.56,17.4,15.95,13.29,17.73,18.32,17.87,16.85,136.07,16.78,19.23,20.18
32,MANIPUR,UKHRUL,26,26,26,26,26,26,26,26,26,26,26,26,26
33,TAMILNADU,TIRUCHIRAPPALLI,9.25,10.48,11.09,11.22,11.09,9.5,11.22,10.79,17.4,17.77,7.1,12,12
34,ODISHA,NUAPADA,3.04,3,3,5.23,3,3,3,1.42,3,3,3.14,3,3
35,MADHYA PRADESH,RAJGARH,10.31,6,6,6,13.86,9.47,2.79,2.33,6,1.73,3.57,6,6
36,UTTAR PRADESH,BAHRAICH,3.79,5.74,11.67,13.08,4.59,26.74,13.09,12.81,12.02,12.21,13.97,12.21,22.49
37,UTTAR PRADESH,GORAKHPUR,4.69,5.73,9.07,11.13,5.58,30.63,11.51,10.6,10.92,10.92,9.47,9.79,22.9
38,ASSAM,DHUBRI,4.08,6,8.31,6,6,6,6,2.12,6,6,8.21,6,6
39,RAJASTHAN,AJMER,10.18,9,9,9,11.71,9,9,10.72,9,9,5.09,9,9
40,RAJASTHAN,JHUNJHUNUN,57.42,53,53,53,39.74,53,53,56.75,53,53,57.8,53,53
41,JHARKHAND,DHANBAD,6,5,5,5,7.25,5,5,4.12,5,5,3.03,5,5
42,UTTAR PRADESH,ETAWAH,11.63,17.74,32.87,19.86,16.1,19.99,19.26,20.02,19.28,19.34,21.3,21.23,24.46
43,MAHARASHTRA,PUNE,5.68,6,6,6,7.81,6,6,3.86,6,6,6.74,6,6
44,SIKKIM,EAST,6,6,6,6,6,6,6,6,6,6,6,6,6
45,NAGALAND,WOKHA,6,6,6,6,6,6,6,6,6,6,6,6,6
46,PUNJAB,SHAHID BHAGAT SINGH NAGAR,18,18,18,18,19.14,18,18,17.9,18,17.55,18,18,18
47,MADHYA PRADESH,BHOPAL,8.91,6,6,6,12.26,9.76,3.44,3.05,6,1.66,3.58,6,6
48,UTTAR PRADESH,JHANSI,5.89,21,30.32,24.54,7.23,24.22,23.83,24.13,25.54,23.97,24.58,24.39,26.24
49,KARNATAKA,BELLARY,6.61,8,8,9.82,12.2,8,8,8.38,8,8,3.96,8,4.39
50,PUNJAB,BATHINDA,17,17,17,17,16.58,17,17,17.62,17,17.48,17,17,17
51,RAJASTHAN,PALI,9.58,9,9,9,12.14,9,9,7.52,9,9,6.92,9,9
52,ASSAM,JORHAT,3.15,2,3.1,2,2,2,2,2.09,2,2,1.46,2,2
53,MAHARASHTRA,OSMANABAD,9.66,8,8,8,11.21,8,8,7.75,8,8,3.64,8,8
54,ARUNACHAL PRADESH,EAST SIANG,6.31,5,5,5,5,5,5,2.44,5,5,5.79,5,5
55,JAMMU & KASHMIR,KATHUA,4.79,4,4,4,6.33,4,4,3.29,4,4,1.18,4,4
56,ODISHA,MALKANGIRI,3.71,3,3,5.04,3,3,3,0.87,3,3,1.83,3,3
57,ASSAM,KARBI ANGLONG,3.72,4,5.41,4,4,4,4,2.02,4,4,3.06,4,4
58,DAMAN & DIU,DIU,5.82,6,6,6,5.91,6,6,5.58,6,6,4.84,6,6
59,ODISHA,JAGATSINGHAPUR,2.15,2,2,2.92,2,2,2,1.31,2,2,1.58,2,2
60,MAHARASHTRA,YAVATMAL,6.46,6,6,6,8.84,6,6,3.44,6,6,3.99,6,6
61,ODISHA,BALANGIR,3.63,3,3,5.05,3,3,3,1.54,3,3,3.02,3,3
62,RAJASTHAN,HANUMANGARH,17.6,18,18,18,17.86,18,18,17.57,18,18,17.74,18,18
63,TELANGANA,NIZAMABAD,13.06,15.03,16.27,12,16.05,16.46,11.91,8.71,12,5,7.13,8.5,9.51
64,BIHAR,NALANDA,5.73,6,6,6,6.94,6,6,5.93,6,6,4.18,6,6
65,UTTAR PRADESH,KUSHINAGAR,2.65,5.61,8.04,11.35,3.8,32.17,11.2,10.3,10.52,10.6,9.37,9.07,23.21
66,UTTAR PRADESH,JALAUN,7.19,15.66,33.69,23.12,8.5,19.45,19.24,19.67,21.38,18.78,24.74,24.68,24.98
67,HARYANA,AMBALA,18,18,18,18,21.35,18,18,15.48,18,17.12,18,18,18
68,MADHYA PRADESH,WEST NIMAR,8.59,6,6,6,10.47,10.01,5.66,2.75,6,1.84,3.6,6,6
69,NAGALAND,ZUNHEBOTO,6,6,6,6,6,6,6,6,6,6,6,6,6
70,MADHYA PRADESH,NEEMUCH,8.48,5,5,5,11.81,6.94,2.97,1.24,5,1.74,3.59,5,5
71,UTTAR PRADESH,GONDA,4.64,5.61,10.71,10.55,5.31,28.61,13.28,12.87,12.86,15.31,12.98,17.24,21.97
72,MAHARASHTRA,SOLAPUR,9.29,8,8,8,11.2,8,8,7.93,8,8,3.58,8,8
73,ODISHA,BHADRAK,2.42,2,2,3.62,2,2,2,0.79,2,2,0.89,2,2
74,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,17.28,23.42,18.92,17.99,16.82,15.52,17.33,17.04,16.6,941.97,14.56,22.24,22.27
75,UTTAR PRADESH,VARANASI,9,6.16,10.15,10.66,10.33,25.41,11.79,11.14,12.03,11.3,9.74,9.68,22.72
76,GUJARAT,RAJKOT,11.05,8,8,8,10.77,8,8,4.69,8,8,4,8,8
77,ODISHA,CUTTACK,3.42,3,3,3.87,3,3,3,1.62,3,3,2.08,3,3
78,MADHYA PRADESH,REWA,11.45,6,6,6,11.01,11.33,1.86,2.9,6,1.79,4.11,6,6
79,KARNATAKA,CHITRADURGA,12.21,11,11,13.82,20.5,11,11,11.46,11,11,3.77,11,5.03
80,UTTAR PRADESH,CHANDAULI,6.1,6.16,10.52,10.99,7.43,25.5,12.14,11.52,12.04,11.3,10.05,9.69,23.01
81,ODISHA,ANUGUL,4.37,4,4,5.99,4,4,4,2.08,4,4,3.36,4,4
82,UTTAR PRADESH,AMBEDKAR NAGAR,5.54,6.08,10.91,11.24,6.49,26.96,12.32,11.36,11.74,11.09,9.85,9.72,22.32
83,KARNATAKA,MYSORE,6.26,8,8,8.13,11.5,8,8,8.94,8,8,4.74,8,5.62
84,TAMILNADU,THANJAVUR,5.1,10.82,11.05,10.84,6.87,9.82,10.96,6.96,14.16,16.6,3.02,10,10
85,GUJARAT,NAVSARI,5.52,4,4,4,7.72,4,4,2.3,4,4,2.44,4,4
86,UTTAR PRADESH,JYOTIBA PHULE NAGAR,12.38,25.03,13.14,13.19,13.69,16.59,16.76,16.24,16.04,15.95,16.05,18.94,22.91
87,ARUNACHAL PRADESH,ANJAW,4.6,4,4,4,4,4,4,2.79,4,4,3.5,4,4
88,SIKKIM,NORTH,4,4,4,4,4,4,4,4,4,4,4,4,4
89,MEGHALAYA,EAST KHASI HILLS,1.63,1,1.33,1,1,1,1,0.96,1,1,1.03,1,1
90,KARNATAKA,HASSAN,9.46,9,9,13.37,8.16,9,9,8.48,9,9,5.66,9,6.41
91,BIHAR,SUPAUL,3.37,4,4,4,3.34,4,4,6.16,4,4,2.26,4,4
92,GUJARAT,BHARUCH,7.31,6,6,6,8.98,6,6,4.93,6,6,4.51,6,6
93,MADHYA PRADESH,TIKAMGARH,5.88,5,5,5,8.64,9.94,2.93,4,5,1.77,4.28,5,5
94,MANIPUR,CHANDEL,5,5,5,5,5,5,5,5,5,5,5,5,5
95,PUNJAB,AMRITSAR,15,15,15,15,14.08,15,15,14.99,15,14.98,15,15,15
96,MAHARASHTRA,NAGPUR,6.87,6,6,6,9.28,6,6,4.27,6,6,5.54,6,6
97,NAGALAND,TUENSANG,6,6,6,6,6,6,6,6,6,6,6,6,6
98,KARNATAKA,DAVANAGERE,7.88,8,8,12.11,14.02,8,8,7.8,8,8,3.75,8,4.74
99,HIMACHAL PRADESH,MANDI,3.92,4,4,4,4.53,4,4,2.44,4,4,3.55,4,4
100,MADHYA PRADESH,BETUL,8.22,6,6,6,10.06,11.01,4.1,2.4,6,2.21,3.64,6,6
101,UTTAR PRADESH,AZAMGARH,5.15,6.15,11.1,10.05,6.53,25.33,12.12,11.26,11.99,11.26,9.77,9.71,22.67
102,GUJARAT,PANCH MAHALS,7.57,7,7,7,10.5,7,7,4.27,7,7,4.68,7,7
103,UTTAR PRADESH,BAGHPAT,13.88,25.51,18.66,17.59,13.82,15.37,16.58,16.24,15.87,962.43,14.41,22.14,23.42
104,BIHAR,JAMUI,8.38,7,7,7,8.76,7,7,6.01,7,7,4.6,7,7
105,ARUNACHAL PRADESH,PAPUM PARE,6.81,5,5,5,5,5,5,2.37,5,5,5.45,5,5
106,UTTARAKHAND,DEHRADUN,10.19,12,12,12,13.06,12,12,11.39,12,12,12.33,12,12
107,KERALA,THRISSUR,6.43,4,4,7.39,4,6.18,3.3,3.8,2.26,4.08,6.01,1.86,1.83
108,PUNJAB,JALANDHAR,25,25,25,25,23.62,25,25,25.66,25,24.59,25,25,25
109,MANIPUR,IMPHAL EAST,25,25,25,25,25,25,25,25,25,25,25,25,25
110,MADHYA PRADESH,DAMOH,8.01,6,6,6,9.93,8.87,2.46,3.4,6,1.86,4.48,6,6
111,MANIPUR,TAMENGLONG,6,6,6,6,6,6,6,6,6,6,6,6,6
112,GUJARAT,BANAS KANTHA,43.91,44,44,44,48.03,44,44,41.88,44,44,42.95,44,44
113,GOA,NORTH GOA,4.83,4,4,4,5.49,4,4,2.89,4,4,3.41,4,4
114,CHHATTISGARH,SURGUJA,6.48,5,5,5,8.3,5,3.15,3.34,4.57,5,4.75,3.58,3.71
115,HARYANA,HISAR,8,8,8,8,8.24,8,8,7.45,8,7.94,8,8,8
116,UTTARAKHAND,TEHRI GARHWAL,9.56,12,12,12,15.67,12,12,10.46,12,12,12.16,12,12
117,HARYANA,JIND,15,15,15,15,15.13,15,15,15.73,15,13.68,15,15,15
118,SIKKIM,SOUTH,15,15,15,15,15,15,15,15,15,15,15,15,15
119,MIZORAM,CHAMPHAI,15,15,15,15,15,15,15,15,15,15,15,15,15
120,ANDHRA PRADESH,VIZIANAGARAM,5.92,7.14,7.66,8,7.59,6,6,2.88,6,2.45,6,6,5.54
121,ARUNACHAL PRADESH,CHANGLANG,4.78,4,4,4,4,4,4,2.64,4,4,3.22,4,4
122,GUJARAT,GANDHINAGAR,71.51,69,69,69,71.97,69,69,64.07,69,69,69.54,69,69
123,BIHAR,SITAMARHI,3.2,4,4,4,4.48,4,4,5.3,4,4,2.5,4,4
124,JHARKHAND,CHATRA,7.29,8,8,8,11.12,8,8,7.16,8,8,6.37,8,8
125,WEST BENGAL,BANKURA,5.29,5,5,6.16,5,5,5,3.31,5,5,6.46,5,5
126,UTTAR PRADESH,PILIBHIT,3.62,11.08,12.96,12.65,4.51,16.7,16.72,24.38,24.51,25.09,15.99,27.81,21.79
127,TELANGANA,KHAMMAM,6.68,8.16,8.92,7,8.99,9.32,5.19,4.82,7,3.39,5.28,5.98,6.7
128,RAJASTHAN,BHARATPUR,16.28,15,15,15,15.82,15,15,12.52,15,15,14.59,15,15
129,JHARKHAND,PURBI SINGHBHUM,5.07,5,5,5,7.6,5,5,2.82,5,5,2.87,5,5
130,KARNATAKA,TUMKUR,12.35,11,11,16.33,17.09,11,11,9.05,11,11,8.66,11,5.51
131,WEST BENGAL,DAKSHIN DINAJPUR,5.92,6,6,8.04,6,6,6,6.78,6,6,2.77,6,6
132,WEST BENGAL,DARJILING,5.09,4,4,5.1,4,4,4,2.18,4,4,1.82,4,4
133,PUNJAB,SANGRUR,34,34,34,34,33.68,34,34,33.42,34,34.43,34,34,34
134,HARYANA,JHAJJAR,6,6,6,6,6.78,6,6,5.49,6,4.84,6,6,6
135,PUNJAB,BARNALA,34,34,34,34,32.9,34,34,34.16,34,35.41,34,34,34
136,RAJASTHAN,DUNGARPUR,6.1,5,5,5,9.11,5,5,2.1,5,5,2.13,5,5
137,ANDHRA PRADESH,WEST GODAVARI,13.63,19.65,20.43,20.77,16.11,15,15,4.32,15,5.5,15,15,17.88
138,MAHARASHTRA,DHULE,8.74,8,8,8,10.72,8,8,5.72,8,8,8.31,8,8
139,MAHARASHTRA,NANDED,7.88,7,7,7,9.69,7,7,5.58,7,7,3.84,7,7
140,MADHYA PRADESH,RAISEN,8.32,6,6,6,11.03,10.13,3.43,2.67,6,2.15,3.77,6,6
141,TAMILNADU,THIRUVALLUR,5.36,10.74,11.37,11.67,13.59,9.65,11.13,6.92,17.95,18.07,4.17,11,11
142,JHARKHAND,KODARMA,6.53,6,6,6,8.84,6,6,5.63,6,6,4.78,6,6
143,TAMILNADU,SALEM,14.48,9.99,10.85,11.06,14.39,9.88,11.13,12.36,20.91,18.06,7.47,13,13
144,UTTAR PRADESH,MAHARAJGANJ,1.98,5.6,7.65,9.4,4.33,32.35,9.61,8.8,8.42,9.53,8.63,10.97,23.09
145,HARYANA,KURUKSHETRA,36,36,36,36,35.23,36,36,37.01,36,35.84,36,36,36
146,WEST BENGAL,NORTH 24 PARGANAS,6.2,7,7,7.06,7,7,7,10,7,7,4.94,7,7
147,MADHYA PRADESH,SHIVPURI,9.2,6,6,6,11.39,9.65,7.42,2.89,6,1.24,3.59,6,6
148,MAHARASHTRA,BULDANA,10.25,10,10,10,12.77,10,10,7.79,10,10,8.17,10,10
149,TAMILNADU,PUDUKKOTTAI,7.17,10.29,10.49,10.37,8.56,9.91,10.91,8.31,13.78,16.28,3.51,10,10
150,RAJASTHAN,GANGANAGAR,13.11,13,13,13,13.23,13,13,12.91,13,13,13.4,13,13
151,KERALA,ALAPPUZHA,4.46,4,4,4.9,4,4.22,6.03,3.62,4.68,4.29,5.25,2.19,3.74
152,JHARKHAND,RAMGARH,6.23,5,5,5,8.01,5,5,3.82,5,5,2.71,5,5
153,JHARKHAND,GODDA,5.47,6,6,6,7.23,6,6,6.18,6,6,3.91,6,6
154,UTTAR PRADESH,BASTI,4.61,5.63,7.68,10.23,5.47,32.07,10.16,9.3,8.93,10.76,8.67,13.18,22.39
155,ODISHA,KENDRAPARA,2.41,2,2,3,2,2,2,1.5,2,2,1.54,2,2
156,UTTARAKHAND,UDHAM SINGH NAGAR,6.55,6,6,6,8.33,6,6,4.9,6,6,6.03,6,6
157,ASSAM,GOLAGHAT,3.31,4,5.63,4,4,4,4,2.47,4,4,3.21,4,4
158,JAMMU & KASHMIR,UDHAMPUR,2,2,2,2,3.43,2,2,2.17,2,2,1.33,2,2
159,KARNATAKA,UTTARA KANNADA,6.71,6,6,9.12,9.69,6,6,1.94,6,6,3.67,6,4.14
160,UTTAR PRADESH,CHITRAKOOT,10.6,6.18,12.84,11.95,11.36,23.82,19.06,17.34,19.09,18.45,16.64,16.31,21.73
161,UTTAR PRADESH,SAHARANPUR,8.68,26.47,16.31,17.01,8.74,15.89,16.09,15.61,15.23,15.13,15.15,20.05,23.8
162,ODISHA,RAYAGADA,4.07,3,3,5.24,3,3,3,1.64,3,3,2.75,3,3
163,UTTAR PRADESH,SANT KABIR NAGAR,4.57,5.64,8.2,11.04,5.5,31.92,11,10.1,10,10.43,9.27,10.45,22.71
164,HARYANA,SIRSA,15,15,15,15,16.82,15,15,14.88,15,11.84,15,15,15
165,UTTAR PRADESH,SONBHADRA,8.42,6.16,12.01,12.07,9.24,26.2,13,12.47,12.21,11.46,10.81,9.83,23.23
166,TRIPURA,NORTH TRIPURA,4.21,3,3.3,3,3,3,3,2.15,3,3,3.14,3,3
167,MIZORAM,SERCHHIP,3,3,3,3,3,3,3,3,3,3,3,3,3
168,ASSAM,DIBRUGARH,3.34,3,4.04,3,3,3,3,1.44,3,3,2.85,3,3
169,KARNATAKA,DHARWAD,8.5,7,7,10.51,11.48,7,7,1.82,7,7,4.35,7,3.91
170,MADHYA PRADESH,DEWAS,13.55,7,7,7,14.58,8.92,4.11,2.74,7,1.92,3.59,7,7
171,WEST BENGAL,PURULIYA,4.71,5,5,6.65,5,5,5,2.65,5,5,6.22,5,5
172,GUJARAT,MAHESANA,39.73,40,40,40,44.25,40,40,38.53,40,40,37.5,40,40
173,ANDHRA PRADESH,EAST GODAVARI,6.81,9.15,9.63,9.9,8.98,7,7,4.62,7,1.78,7,7,7.65
174,HARYANA,SONIPAT,12,12,12,12,10.88,12,12,12.23,12,12.31,12,12,12
175,JHARKHAND,JAMTARA,6.55,5,5,5,7.89,5,5,3.75,5,5,3.27,5,5
176,HARYANA,ROHTAK,4,4,4,4,4.86,4,4,3.82,4,4.07,4,4,4
177,UTTAR PRADESH,AGRA,21.66,33.06,30.63,30.28,29.09,30.89,30.57,29.25,28.38,29.53,29.71,28.89,31.22
178,NAGALAND,MOKOKCHUNG,29,29,29,29,29,29,29,29,29,29,29,29,29
179,UTTAR PRADESH,MORADABAD,10.18,22.6,11.66,12.93,11.17,16.31,16.52,14.51,14.36,14.48,16.41,16.36,23.11
180,MAHARASHTRA,SATARA,7.33,6,6,6,8.93,6,6,4.08,6,6,3.92,6,6
181,PUNJAB,RUPNAGAR,11,11,11,11,11.64,11,11,11.01,11,9.67,11,11,11
182,CHHATTISGARH,KABEERDHAM,6.76,4,4,4,8.37,4,2.79,3.18,2.39,4,3.73,3.67,3.19
183,DELHI,EAST,12,12,12,12,12.36,12,12,12.11,12,11.93,12,11.91,12
184,ASSAM,KAMRUP METROPOLITAN,3.54,3,3.05,3,3,3,3,2.16,3,3,2.64,3,3
185,WEST BENGAL,PURBA MEDINIPUR,12.84,10,10,12.75,10,10,10,9.14,10,10,6.28,10,10
186,WEST BENGAL,MALDAH,5.13,6,6,5.96,6,6,6,11.7,6,6,2.65,6,6
187,MADHYA PRADESH,INDORE,13.42,7,7,7,16.82,7.59,3.94,3.06,7,1.89,3.59,7,7
188,UTTAR PRADESH,MEERUT,12.33,25.55,16.54,15.82,11.07,16.53,16.17,15.7,15.33,15.24,15.82,19.88,23.15
189,JAMMU & KASHMIR,ANANTNAG,7.07,7,7,7,7.42,7,7,6.72,7,7,6.65,7,7
190,JHARKHAND,DEOGHAR,6.85,6,6,6,8.77,6,6,5.39,6,6,2.95,6,6
191,RAJASTHAN,KARAULI,14.26,15,15,15,16.3,15,15,13.96,15,15,14.93,15,15
192,BIHAR,PURBA CHAMPARAN,3.73,4,4,4,4.95,4,4,3.56,4,4,2.35,4,4
193,JHARKHAND,SARAIKELA-KHARSAWAN,5.82,5,5,5,7.42,5,5,1.87,5,5,2.9,5,5
194,KARNATAKA,RAICHUR,5.13,6,6,6.66,6.13,6,6,7.84,6,6,4.91,6,4.25
195,MADHYA PRADESH,ANUPPUR,6.47,5,5,5,8.32,8.53,1.82,2.71,5,2.38,4.09,5,5
196,ODISHA,JAJAPUR,3.24,3,3,3.87,3,3,3,1.55,3,3,2.31,3,3
197,GUJARAT,THE DANGS,3.54,3,3,3,6.46,3,3,1.27,3,3,1.31,3,3
198,MAHARASHTRA,AMRAVATI,9.34,9,9,9,12.56,9,9,8.13,9,9,7.12,9,9
199,KERALA,IDUKKI,4.72,5,5,5.73,5,4.37,9.28,5.03,4.62,3.93,5.61,1.48,3.14
200,UTTARAKHAND,BAGESHWAR,31.55,30,30,30,32.75,30,30,29.78,30,30,27.17,30,30
201,UTTARAKHAND,RUDRAPRAYAG,9.15,16,16,16,22.56,16,16,17.07,16,16,15.16,16,16
202,ASSAM,BAKSA,3.14,3,2.95,3,3,3,3,2.09,3,3,3.2,3,3
203,RAJASTHAN,BIKANER,41.06,42,42,42,44.07,42,42,41.7,42,42,40.38,42,42
204,JHARKHAND,GIRIDIH,6.23,6,6,6,9.28,6,6,5.94,6,6,3.18,6,6
205,TELANGANA,MAHBUBNAGAR,13.66,13.57,13.98,12,14.75,13.4,12.52,11.26,12,9.5,9.73,9.61,9.99
206,UTTARAKHAND,NAINITAL,23.5,25,25,25,25.95,25,25,24.06,25,25,26.03,25,25
207,UTTAR PRADESH,LUCKNOW,12.73,5.57,13.48,15.16,14.27,22.57,15.85,15.2,14.62,15.96,14.85,59.59,20.1
208,DELHI,WEST,12,12,12,12,12.33,12,12,12.1,12,12.95,12,11.98,12
209,MEGHALAYA,RI BHOI,2.76,2,2.74,2,2,2,2,1.65,2,2,1.7,2,2
210,MAHARASHTRA,GONDIYA,6.58,6,6,6,8.84,6,6,1.73,6,6,5.28,6,6
211,MAHARASHTRA,JALNA,10.24,10,10,10,12.82,10,10,8.67,10,10,6.74,10,10
212,TAMILNADU,COIMBATORE,13.65,14.41,14.87,16.71,15.22,12.47,7.97,13.58,21.24,24.9,10,15,15
213,PUNJAB,MANSA,15,15,15,15,13.87,15,15,15.57,15,16.71,15,15,15
214,ASSAM,KOKRAJHAR,3.87,5,7.63,5,5,5,5,2.12,5,5,7.5,5,5
215,BIHAR,VAISHALI,5.93,6,6,6,7.77,6,6,5.56,6,6,3.43,6,6
216,MADHYA PRADESH,VIDISHA,8.55,6,6,6,11.46,9.95,3.61,3.45,6,1.54,3.57,6,6
217,HARYANA,FATEHABAD,17,17,17,17,21.18,17,17,22.89,17,8.03,17,17,17
218,JHARKHAND,SAHIBGANJ,5.8,5,5,5,6.83,5,5,3.06,5,5,3.06,5,5
219,HIMACHAL PRADESH,UNA,5.39,5,5,5,5.84,5,5,5.26,5,5,4.41,5,5
220,MADHYA PRADESH,CHHATARPUR,7.67,6,6,6,9.88,9.35,2.29,4.49,6,1.82,4.16,6,6
221,KARNATAKA,BAGALKOT,8.08,6,6,8.68,9.78,6,6,1.7,6,6,6.72,6,3.68
222,NAGALAND,KIPHIRE,6,6,6,6,6,6,6,6,6,6,6,6,6
223,ASSAM,KAMRUP,3.36,3,3,3,3,3,3,1.92,3,3,2.3,3,3
224,HARYANA,GURGAON,26,26,26,26,29.7,26,26,23.6,26,25.35,26,26,26
225,MADHYA PRADESH,SHAHDOL,7.68,5,5,5,8.66,9.46,1.83,3.51,5,2.07,4.1,5,5
226,ASSAM,DIMA HASAO,3.23,4,6.14,4,4,4,4,2.01,4,4,3.27,4,4
227,BIHAR,JEHANABAD,5.24,5,5,5,6.15,5,5,4.18,5,5,3.38,5,5
228,TAMILNADU,SIVAGANGA,11.09,10.3,7.65,7.98,11.49,9.99,10.31,11.95,12.32,14.41,7.69,10,10
229,UTTAR PRADESH,FATEHPUR,9.47,6.54,13.74,15.04,11.63,21.08,18.86,17.76,17.71,17.78,17.14,17.23,19.42
230,HARYANA,PANIPAT,17,17,17,17,15.83,17,17,18.66,17,17.47,17,17,17
231,UTTAR PRADESH,HARDOI,5.66,9.17,17.31,19.53,9.81,21.49,20.35,20.04,20.51,19.72,20.41,23.12,22.26
232,WEST BENGAL,PASHCHIM MEDINIPUR,9.44,7,7,8.02,7,7,7,3.57,7,7,6.21,7,7
233,DAMAN & DIU,DAMAN,5.72,4,4,4,5.69,4,4,1.87,4,4,2.17,4,4
234,ODISHA,JHARSUGUDA,4.07,3,3,5.31,3,3,3,0.93,3,3,2.25,3,3
235,BIHAR,SHEIKHPURA,5.47,6,6,6,7.65,6,6,6.02,6,6,3.91,6,6
236,BIHAR,NAWADA,5.72,6,6,6,7.4,6,6,5.91,6,6,4.61,6,6
237,PUNJAB,FIROZPUR,8,8,8,8,7.91,8,8,7.73,8,8.69,8,8,8
238,BIHAR,ARWAL,4.69,4,4,4,5.37,4,4,3.82,4,4,2.69,4,4
239,HIMACHAL PRADESH,SHIMLA,9.73,9,9,9,10.43,9,9,6.75,9,9,7.99,9,9
240,DELHI,SOUTH WEST,20,20,20,20,20.62,20,20,20.07,20,19.88,20,19.95,20
241,MADHYA PRADESH,SINGRAULI,9.23,6,6,6,10.11,11.76,1.78,2.71,6,1.79,4.1,6,6
242,BIHAR,ARARIA,3.38,4,4,4,3.31,4,4,6.21,4,4,2.32,4,4
243,BIHAR,PURNIA,3.78,4,4,4,3.85,4,4,6.22,4,4,2.6,4,4
244,ASSAM,KARIMGANJ,2.03,2,2.09,2,2,2,2,1.95,2,2,0.87,2,2
245,KARNATAKA,MANDYA,5.31,7,7,7.11,10.52,7,7,8.74,7,7,3.45,7,5.77
246,PUNJAB,LUDHIANA,20,20,20,20,19.33,20,20,20.98,20,20.03,20,20,20
247,RAJASTHAN,BARAN,4.69,5,5,5,9.09,5,5,4.56,5,5,3.4,5,5
248,HARYANA,PANCHKULA,9,9,9,9,10.87,9,9,8.24,9,8.45,9,9,9
249,RAJASTHAN,DAUSA,25.85,25,25,25,26.42,25,25,22.35,25,25,23.96,25,25
250,MADHYA PRADESH,SIDHI,8.44,6,6,6,9.63,11.94,1.77,2.76,6,1.79,4.11,6,6
